Player, Salary 
Chris Silva\silvach01,1669178
Brian Bowen\bowenbr02,1669178
Tremont Waters\watertr01,1669178
Quinndary Weatherspoon\weathqu01,1669178
Derrick Walton\waltode01,1669178
Davon Reed\reedda01,1669178
Kyle Guy\guyky01,1669178
Tacko Fall\fallta01,1669178
Tyler Cook\cookty01,1669178
Devontae Cacok\cacokde01,1669178
Garrison Mathews\mathega01,1669178
DaQuan Jeffries\jeffrda01,3370771
Didi Louzada\louzama01,3304859
Xavier Tillman Sr.\tillmxa01,1517981
Tyrell Terry\terryty01,1517981
Vernon Carey Jr.\careyve01,1517981
Robert Woodard\woodaro01,1517981
Elijah Hughes\hugheel01,1517981
Tre Jones\jonestr01,1517981
Jahmi'us Ramsey\ramseja01,1517981
CJ Elleby\ellebcj01,1517981
Isaiah Joe\joeis01,1517981
Naji Marshall\marshna01,1517981
Jordan Nwora\nworajo01,1517981
Omer Yurtseven\yurtsom01,3007046
Sam Merrill\merrisa01,1517981
Mamadi Diakite\diakima01,1517981
Anthony Gill\gillan01,1517981
Freddie Gillespie\gillefr01,1517981
Paul Reed\reedpa01,1517981
Kenyon Martin Jr.\martike04,1517981
Jae'Sean Tate\tateja01,1517981
Lamar Stevens\stevela01,1517981
Isaiah Todd\toddis01,1500000
Saben Lee\leesa01,1489065
Omer Yurtseven\yurtsom01,3007046
Marques Bolden\boldema01,1489065
Malik Fitts\fittsma01,1489065
Reggie Perry\perryre01,1489065
Jaylen Morris\morrija01,1489065
Emanuel Terry\terryem01,1489065
Admiral Schofield\schofad01,1789065
Jaylen Hoard\hoardja01,1489065
Jemerrio Jones\jonesje01,2978130
Jemerrio Jones\jonesje01,2978130
Elijah Bryant\bryanel01,1489065
Sean McDermott\mcderse01,1489065
Cameron Oliver\oliveca01,2978130
Cameron Oliver\oliveca01,2978130
George King\kingge03,1489065
Nate Hinton\hintona01,1489065
Cassius Stanley\stanlca01,1489065
J.R. Smith\smithjr01,1456666
George Hill\hillge01,4000000
DeMarre Carroll\carrode01,1252127
JT Thor\thorjt01,1250000
Jason Preston\prestja01,1062303
Isaiah Livers\liveris01,1057260
Guerschon Yabusele\yabusgu01,1039080
Kyle Singler\singlky01,999200
Greg Brown III\browngr01,925258
Miles McBride\mcbrimi01,925258
Brandon Boston Jr.\bostobr01,925258
Marko Simonovic\simonma01,925258
Vit Krejci\krejcvi01,925258
Charles Bassey\bassech01,925258
Jordan Goodwin\goodwjo01,925258
Dalano Banton\bantoda01,925258
Jock Landale\landajo01,925258
M.J. Walker\walkemj01,925258
Terry Taylor\taylote01,925258
Ayo Dosunmu\dosunay01,925258
David Duke\dukeda01,925258
Georgios Kalaitzakis\kalaige01,925258
Ishmail Wainright\wainris01,925258
Jordan Schakel\schakjo01,925258
Jay Huff\huffja01,925258
Derrick Alston Jr.\alstode02,925258
MaCio Teague\teaguma02,925258
Denzel Mahoney\mahonde01,925258
DJ Steward\stewadj01,925258
Matt Coleman III\colemma04,925258
Jeremiah Tilmon\tilmoje01,925258
Jeff Dowtin\dowtije01,925258
Hassani Gravett\graveha01,925258
Tyler Hall\hallty01,925258
Aamir Simms\simmsaa01,925258
James Banks III\banksja02,925258
Malcolm Hill\hillma01,925258
Isaiah Miller\milleis01,925258
Matt Lewis\lewisma04,925258
Javin DeLaurier\delauja01,925258
Micah Potter\pottemi01,925258
Javonte Smart\smartja01,925258
Dru Smith\smithdr01,925258
D. J. Stewart Jr.\stewadj02,925258
Romeo Weems\weemsro01,925258
Trevelin Queen\queentr01,925258
Austin Reaves\reaveau01,925258
Moses Wright\wrighmo01,925258
Keifer Sykes\sykeske01,925258
Daishen Nix\nixda01,925258
Luka Garza\garzalu01,925258
Mitch Ballock\ballomi01,925258
RJ Nembhard\nembhrj01,925258
Cameron McGriff\mcgrica01,925258
Jalen Crutcher\crutcja01,925258
Brandon Rachal\rachabr01,925258
Jordan Bowden\bowdejo01,925258
Johnny Hamilton\hamiljo03,925258
Patrick Patterson\pattepa01,3378757
Shaun Livingston\livinsh01,1333332
Shaun Livingston\livinsh01,1333332
Admiral Schofield\schofad01,1789065
Troy Williams\willitr02,122741
Demetrius Jackson\jacksde01,92857
